,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
0,0,3468,7999,2012.0,subaru,legacy,excellent,4 cylinders,122120.0,automatic,sedan,va,8.0,3,4,0,0,0,0,120000-130000
1,1,3652,2800,2004.0,toyota,camry le,good,4 cylinders,191000.0,automatic,sedan,va,16.0,2,4,1,0,1,0,190000-200000
2,2,3654,9450,2012.0,volvo,s80,like new,6 cylinders,92000.0,automatic,sedan,va,8.0,4,6,2,0,2,0,90000-100000
3,3,3677,2100,2002.0,volkswagen,new beetle gls,excellent,4 cylinders,141840.0,automatic,hatchback,va,18.0,3,4,3,0,3,1,140000-150000
4,4,3678,2900,2010.0,hyundai,elantra gls wagon,good,4 cylinders,186650.0,automatic,wagon,va,10.0,2,4,4,0,4,2,180000-190000
5,5,3687,36600,2017.0,nissan,titan xd crew cab,good,8 cylinders,35397.0,other,pickup,va,3.0,2,8,5,1,5,3,30000-40000
6,6,3688,26100,2015.0,ram,1500 quad cab tradesman,good,8 cylinders,39098.0,other,pickup,va,5.0,2,8,6,1,6,3,30000-40000
7,7,3695,17200,2013.0,infiniti,jx jx35 sport utility,good,6 cylinders,92698.0,automatic,other,va,7.0,2,6,7,0,7,4,90000-100000
8,8,3696,11000,2015.0,chrysler,200,good,6 cylinders,102500.0,automatic,sedan,va,5.0,2,6,8,0,8,0,100000-110000
9,9,3704,14500,2017.0,chevrolet,colorado ext cab,excellent,4 cylinders,29182.0,manual,truck,va,3.0,3,4,9,2,9,5,20000-30000
10,10,3711,20000,2015.0,toyota,sequoia,good,8 cylinders,145000.0,automatic,SUV,va,5.0,2,8,1,0,10,6,140000-150000
11,11,3715,8975,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
12,12,3716,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
13,13,3718,5000,2006.0,dodge,caravan,excellent,6 cylinders,77650.0,automatic,van,va,14.0,3,6,11,0,13,7,70000-80000
14,14,3731,15900,2017.0,mazda,6,like new,4 cylinders,5500.0,manual,sedan,va,3.0,4,4,12,2,14,0,0-10000
15,15,3733,6500,2008.0,ford,mustang,good,6 cylinders,117760.0,automatic,coupe,va,12.0,2,6,13,0,15,8,110000-120000
16,16,3737,26500,2015.0,chevrolet,colorado crew cab,excellent,6 cylinders,38381.0,automatic,pickup,va,5.0,3,6,9,0,16,3,30000-40000
17,17,3745,25100,2014.0,chevrolet,silverado 1500 double,good,8 cylinders,58403.0,other,pickup,va,6.0,2,8,9,1,17,3,50000-60000
18,18,3759,16950,2014.0,chevrolet,silverado wt1500,good,6 cylinders,103000.0,automatic,truck,va,6.0,2,6,9,0,18,5,100000-110000
19,19,3764,32500,2017.0,ford,f150 supercrew cab xlt,good,8 cylinders,36373.0,automatic,pickup,va,3.0,2,8,13,0,19,3,30000-40000
20,20,3776,8995,2005.0,toyota,tundra,good,8 cylinders,172000.0,automatic,pickup,va,15.0,2,8,1,0,20,3,170000-180000
21,21,3777,22500,2006.0,ram,3500,excellent,8 cylinders,170000.0,automatic,pickup,va,14.0,3,8,6,0,21,3,170000-180000
22,22,3788,3800,2005.0,mazda,6,good,6 cylinders,151000.0,automatic,sedan,va,15.0,2,6,12,0,14,0,150000-160000
23,23,3789,9800,2002.0,toyota,land cruiser,excellent,8 cylinders,148000.0,automatic,SUV,va,18.0,3,8,1,0,22,6,140000-150000
24,24,3791,26500,2016.0,jeep,wrangler unlimited sport,like new,6 cylinders,32564.0,automatic,SUV,va,4.0,4,6,10,0,23,6,30000-40000
25,25,3792,3999,2001.0,honda,civic,good,4 cylinders,199153.0,other,coupe,va,19.0,2,4,14,1,24,8,190000-200000
26,26,3793,4999,2008.0,chevrolet,cobalt,good,4 cylinders,117135.0,automatic,sedan,va,12.0,2,4,9,0,25,0,110000-120000
27,27,3794,3999,2004.0,ford,expedition,good,8 cylinders,157622.0,automatic,SUV,va,16.0,2,8,13,0,26,6,150000-160000
28,28,3795,3999,2005.0,hyundai,sonata,good,4 cylinders,145868.0,automatic,sedan,va,15.0,2,4,4,0,27,0,140000-150000
29,29,3796,6495,2003.0,ford,explorer sport trac,good,6 cylinders,181902.0,automatic,truck,va,17.0,2,6,13,0,28,5,180000-190000
30,30,3797,33450,2016.0,chevrolet,tahoe,like new,8 cylinders,84500.0,automatic,SUV,va,4.0,4,8,9,0,29,6,80000-90000
31,31,3803,8699,2014.0,chrysler,town & country,like new,6 cylinders,126587.0,automatic,van,va,6.0,4,6,8,0,30,7,120000-130000
32,32,3804,17000,2013.0,toyota,4runner,good,6 cylinders,134000.0,automatic,SUV,va,7.0,2,6,1,0,31,6,130000-140000
33,33,3806,14500,2015.0,mercedes-benz,glk350,excellent,6 cylinders,73000.0,automatic,SUV,va,5.0,3,6,15,0,32,6,70000-80000
34,34,3815,4000,2001.0,lexus,es 300,good,6 cylinders,166115.0,automatic,sedan,va,19.0,2,6,16,0,33,0,160000-170000
35,35,3816,4500,2003.0,toyota,corolla,good,4 cylinders,125000.0,manual,sedan,va,17.0,2,4,1,2,34,0,120000-130000
36,36,3834,3000,2002.0,hyundai,xg350,excellent,6 cylinders,170002.0,automatic,sedan,va,18.0,3,6,4,0,35,0,170000-180000
37,37,3836,7800,2011.0,chevrolet,equinox,good,4 cylinders,175000.0,automatic,SUV,va,9.0,2,4,9,0,36,6,170000-180000
38,38,3837,6900,2011.0,subaru,legacy,like new,4 cylinders,114644.0,automatic,sedan,va,9.0,4,4,0,0,0,0,110000-120000
39,39,3854,12500,2011.0,volvo,s60,excellent,6 cylinders,86000.0,automatic,SUV,va,9.0,3,6,2,0,37,6,80000-90000
40,40,3855,8500,2008.0,mercedes-benz,benz gl450 4matic,excellent,8 cylinders,154900.0,automatic,SUV,va,12.0,3,8,15,0,38,6,150000-160000
41,41,3858,7749,2008.0,infiniti,m3x awd,excellent,6 cylinders,117634.0,automatic,sedan,va,12.0,3,6,7,0,39,0,110000-120000
42,42,3859,7990,2010.0,nissan,murano sl awd,excellent,6 cylinders,119623.0,automatic,SUV,va,10.0,3,6,5,0,40,6,110000-120000
43,43,3866,4400,2004.0,ram,1500,excellent,8 cylinders,192441.0,automatic,pickup,va,16.0,3,8,6,0,41,3,190000-200000
44,44,3874,5990,2008.0,honda,civic hybrid,excellent,4 cylinders,89224.0,automatic,sedan,va,12.0,3,4,14,0,42,0,80000-90000
45,45,3879,7795,2009.0,ford,f-150 stx super cab,good,8 cylinders,139941.0,automatic,pickup,va,11.0,2,8,13,0,43,3,130000-140000
46,46,3883,35200,2018.0,chevrolet,colorado crew cab zr2,good,6 cylinders,20299.0,other,pickup,va,2.0,2,6,9,1,44,3,20000-30000
47,47,3887,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
48,48,3889,3795,2006.0,mazda,5,good,4 cylinders,151000.0,automatic,SUV,va,14.0,2,4,12,0,45,6,150000-160000
49,49,3890,5995,2014.0,jeep,patriot latitude,good,4 cylinders,174000.0,automatic,SUV,va,6.0,2,4,10,0,46,6,170000-180000
50,50,3891,8975,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
51,51,3892,5995,2006.0,acura,3.2tl,good,6 cylinders,176000.0,automatic,sedan,va,14.0,2,6,17,0,47,0,170000-180000
52,52,3893,7990,2007.0,honda,crv ex awd,excellent,4 cylinders,118250.0,automatic,SUV,va,13.0,3,4,14,0,48,6,110000-120000
53,53,3898,26500,2011.0,ford,f150 supercrew cab lariat,good,6 cylinders,60076.0,other,pickup,va,9.0,2,6,13,1,49,3,60000-70000
54,54,3901,20900,2017.0,buick,enclave convenience sport,good,6 cylinders,32540.0,automatic,other,va,3.0,2,6,18,0,50,4,30000-40000
55,55,3902,13600,2012.0,jeep,liberty sport suv 4d,good,6 cylinders,91668.0,other,other,va,8.0,2,6,10,1,51,4,90000-100000
56,56,3903,28350,2016.0,audi,s4,excellent,6 cylinders,42186.0,manual,sedan,va,4.0,3,6,19,2,52,0,40000-50000
57,57,3910,3000,2002.0,volkswagen,jetta,excellent,4 cylinders,124000.0,automatic,sedan,va,18.0,3,4,3,0,53,0,120000-130000
58,58,3925,5990,2009.0,nissan,altima 3.5 sl,excellent,6 cylinders,118713.0,automatic,sedan,va,11.0,3,6,5,0,54,0,110000-120000
59,59,3926,11950,2013.0,chevrolet,traverse lt,like new,6 cylinders,94300.0,automatic,SUV,va,7.0,4,6,9,0,55,6,90000-100000
60,60,3929,20000,2011.0,audi,s4,like new,6 cylinders,60000.0,automatic,sedan,va,9.0,4,6,19,0,52,0,60000-70000
61,61,3934,23300,2015.0,chevrolet,silverado 1500 double,good,8 cylinders,47851.0,other,pickup,va,5.0,2,8,9,1,17,3,40000-50000
62,62,3935,22900,2015.0,jeep,grand cherokee laredo sport,good,6 cylinders,51079.0,other,other,va,5.0,2,6,10,1,56,4,50000-60000
63,63,3938,30700,2016.0,toyota,tacoma double cab limited,good,6 cylinders,34719.0,other,pickup,va,4.0,2,6,1,1,57,3,30000-40000
64,64,3951,8295,2010.0,subaru,forester awd,excellent,4 cylinders,82661.0,automatic,wagon,va,10.0,3,4,0,0,58,2,80000-90000
65,65,3953,29400,2016.0,cadillac,cts 3.6 premium,good,6 cylinders,39114.0,other,sedan,va,4.0,2,6,20,1,59,0,30000-40000
66,66,3954,29500,2016.0,ram,1500 quad cab laramie pickup,good,6 cylinders,23773.0,other,pickup,va,4.0,2,6,6,1,60,3,20000-30000
67,67,3955,25200,2015.0,ford,f150 supercrew cab xlt,good,6 cylinders,69075.0,other,pickup,va,5.0,2,6,13,1,19,3,60000-70000
68,68,3982,19800,2012.0,jeep,wrangler sport suv 2d,good,6 cylinders,90278.0,other,other,va,8.0,2,6,10,1,61,4,90000-100000
69,69,4010,36800,2017.0,ram,1500 crew cab sport pickup,good,8 cylinders,14294.0,other,pickup,va,3.0,2,8,6,1,62,3,10000-20000
70,70,4017,4300,2005.0,ford,explorer,excellent,4 cylinders,152000.0,automatic,van,va,15.0,3,4,13,0,63,7,150000-160000
71,71,4021,25900,2019.0,ram,1500 classic quad cab,good,6 cylinders,2896.0,other,pickup,va,1.0,2,6,6,1,64,3,0-10000
72,72,4028,5900,2007.0,bmw,x3 3.0si,excellent,6 cylinders,130000.0,automatic,SUV,va,13.0,3,6,21,0,65,6,130000-140000
73,73,4036,5495,2003.0,ford,ranger,excellent,6 cylinders,165000.0,manual,pickup,va,17.0,3,6,13,2,66,3,160000-170000
74,74,4038,4495,2004.0,subaru,forester (natl),excellent,4 cylinders,105000.0,automatic,SUV,va,16.0,3,4,0,0,67,6,100000-110000
75,75,4040,7995,2005.0,lexus,rx 330,excellent,6 cylinders,168000.0,automatic,SUV,va,15.0,3,6,16,0,68,6,160000-170000
76,76,4041,3995,2005.0,jeep,liberty,excellent,6 cylinders,167000.0,automatic,SUV,va,15.0,3,6,10,0,69,6,160000-170000
77,77,4043,5995,2005.0,hyundai,tucson,excellent,6 cylinders,75000.0,automatic,SUV,va,15.0,3,6,4,0,70,6,70000-80000
78,78,4044,4495,2004.0,honda,cr-v,excellent,4 cylinders,142000.0,automatic,SUV,va,16.0,3,4,14,0,71,6,140000-150000
79,79,4045,5495,2005.0,acura,tl,excellent,6 cylinders,150423.0,automatic,sedan,va,15.0,3,6,17,0,72,0,150000-160000
80,80,4046,6995,2009.0,subaru,legacy,excellent,4 cylinders,98000.0,automatic,sedan,va,11.0,3,4,0,0,0,0,90000-100000
81,81,4048,7995,2010.0,toyota,camry,excellent,4 cylinders,118000.0,automatic,sedan,va,10.0,3,4,1,0,73,0,110000-120000
82,82,4051,3700,2001.0,ford,mustang gt,good,8 cylinders,143000.0,manual,coupe,va,19.0,2,8,13,2,74,8,140000-150000
83,83,4053,4900,2010.0,ford,f350 4x4,good,8 cylinders,90000.0,manual,pickup,va,10.0,2,8,13,2,75,3,90000-100000
84,84,4055,27500,2011.0,ford,f-250,excellent,8 cylinders,141300.0,automatic,truck,va,9.0,3,8,13,0,76,5,140000-150000
85,85,4060,2450,2003.0,lexus,gs 300,good,6 cylinders,198000.0,automatic,sedan,va,17.0,2,6,16,0,77,0,190000-200000
86,86,4084,7499,2011.0,dodge,caliber,good,4 cylinders,81179.0,automatic,hatchback,va,9.0,2,4,11,0,78,1,80000-90000
87,87,4089,5995,2014.0,jeep,patriot latitude,good,4 cylinders,174000.0,automatic,SUV,va,6.0,2,4,10,0,46,6,170000-180000
88,88,4097,6995,2011.0,hyundai,sonata,good,4 cylinders,161822.0,automatic,sedan,va,9.0,2,4,4,0,27,0,160000-170000
89,89,4099,9000,2009.0,audi,q7 s-line,good,6 cylinders,98600.0,automatic,SUV,va,11.0,2,6,19,0,79,6,90000-100000
90,90,4102,6450,2008.0,honda,accord ex-l,excellent,6 cylinders,165000.0,automatic,sedan,va,12.0,3,6,14,0,80,0,160000-170000
91,91,4103,4990,2003.0,audi,a4 3.0 quattro,excellent,6 cylinders,106655.0,automatic,sedan,va,17.0,3,6,19,0,81,0,100000-110000
92,92,4107,24600,2018.0,nissan,maxima platinum sedan 4d,good,6 cylinders,38800.0,automatic,sedan,va,2.0,2,6,5,0,82,0,30000-40000
93,93,4110,9000,2013.0,dodge,grand caravan sxt,excellent,6 cylinders,71800.0,automatic,mini-van,va,7.0,3,6,11,0,83,9,70000-80000
94,94,4114,30400,2016.0,chevrolet,silverado 1500 crew,good,8 cylinders,35544.0,automatic,pickup,va,4.0,2,8,9,0,84,3,30000-40000
95,95,4117,6490,2012.0,hyundai,elantra gls,excellent,4 cylinders,101039.0,automatic,sedan,va,8.0,3,4,4,0,85,0,100000-110000
96,96,4118,22200,2016.0,jeep,grand cherokee laredo e,good,6 cylinders,29078.0,other,other,va,4.0,2,6,10,1,86,4,20000-30000
97,97,4122,30300,2015.0,ford,f150 supercrew cab xlt,good,8 cylinders,39270.0,other,pickup,va,5.0,2,8,13,1,19,3,30000-40000
98,98,4131,9999,2010.0,ford,fusion,like new,4 cylinders,30000.0,automatic,sedan,va,10.0,4,4,13,0,87,0,30000-40000
99,99,4132,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
100,100,4150,9475,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
101,101,4151,10000,2014.0,honda,civic lx,excellent,4 cylinders,104500.0,automatic,sedan,va,6.0,3,4,14,0,88,0,100000-110000
102,102,4168,4500,2007.0,honda,civic ex,good,4 cylinders,164000.0,automatic,coupe,va,13.0,2,4,14,0,89,8,160000-170000
103,103,4186,23400,2015.0,ram,1500 quad cab express pickup,good,8 cylinders,53054.0,other,pickup,va,5.0,2,8,6,1,90,3,50000-60000
104,104,4196,7999,2011.0,toyota,corolla,good,4 cylinders,137476.0,automatic,sedan,va,9.0,2,4,1,0,34,0,130000-140000
105,105,4198,6999,2006.0,subaru,legacy sedan,good,4 cylinders,97054.0,automatic,sedan,va,14.0,2,4,0,0,91,0,90000-100000
106,106,4199,8795,2013.0,ford,fusion,good,4 cylinders,115605.0,automatic,sedan,va,7.0,2,4,13,0,87,0,110000-120000
107,107,4200,6995,2011.0,hyundai,sonata,good,4 cylinders,161822.0,automatic,sedan,va,9.0,2,4,4,0,27,0,160000-170000
108,108,4201,6999,2006.0,subaru,legacy sedan,good,4 cylinders,97054.0,automatic,sedan,va,14.0,2,4,0,0,91,0,90000-100000
109,109,4202,7499,2011.0,dodge,caliber,good,4 cylinders,81179.0,automatic,hatchback,va,9.0,2,4,11,0,78,1,80000-90000
110,110,4203,7999,2011.0,toyota,corolla,good,4 cylinders,137476.0,automatic,sedan,va,9.0,2,4,1,0,34,0,130000-140000
111,111,4204,8795,2013.0,ford,fusion,good,4 cylinders,115605.0,automatic,sedan,va,7.0,2,4,13,0,87,0,110000-120000
112,112,4221,6000,2003.0,toyota,tundra,excellent,6 cylinders,171000.0,manual,pickup,va,17.0,3,6,1,2,20,3,170000-180000
113,113,4223,21400,2013.0,chevrolet,silverado 1500,good,8 cylinders,51171.0,other,pickup,va,7.0,2,8,9,1,92,3,50000-60000
114,114,4224,3000,2004.0,chevrolet,blazer,good,6 cylinders,123964.0,automatic,SUV,va,16.0,2,6,9,0,93,6,120000-130000
115,115,4229,6449,2011.0,ford,escape ltd,excellent,4 cylinders,123444.0,automatic,SUV,va,9.0,3,4,13,0,94,6,120000-130000
116,116,4230,28600,2016.0,chevrolet,colorado crew cab z71,good,6 cylinders,24370.0,other,pickup,va,4.0,2,6,9,1,95,3,20000-30000
117,117,4235,11980,2013.0,chevrolet,traverse,excellent,6 cylinders,94560.0,automatic,SUV,va,7.0,3,6,9,0,96,6,90000-100000
118,118,4236,10500,2007.0,ford,f250 super duty,good,8 cylinders,139450.0,automatic,truck,va,13.0,2,8,13,0,97,5,130000-140000
119,119,4237,22000,2013.0,gmc,sierra 1500 sle,excellent,8 cylinders,43000.0,manual,truck,va,7.0,3,8,22,2,98,5,40000-50000
120,120,4246,32600,2017.0,toyota,tacoma double cab sr,good,6 cylinders,17630.0,other,pickup,va,3.0,2,6,1,1,99,3,10000-20000
121,121,4247,7500,2005.0,acura,tl,excellent,6 cylinders,125000.0,manual,sedan,va,15.0,3,6,17,2,72,0,120000-130000
122,122,4251,26700,2015.0,gmc,canyon crew cab slt pickup,good,6 cylinders,43951.0,other,pickup,va,5.0,2,6,22,1,100,3,40000-50000
123,123,4253,17800,2012.0,nissan,armada sv sport utility,good,8 cylinders,81395.0,other,other,va,8.0,2,8,5,1,101,4,80000-90000
124,124,4267,17500,2015.0,toyota,avalon xle touring,like new,6 cylinders,50250.0,automatic,sedan,va,5.0,4,6,1,0,102,0,50000-60000
125,125,4270,10900,2015.0,ram,promaster city,excellent,4 cylinders,92000.0,automatic,mini-van,va,5.0,3,4,6,0,103,9,90000-100000
126,126,4274,15500,2014.0,honda,cr-v,excellent,4 cylinders,68485.0,automatic,SUV,va,6.0,3,4,14,0,71,6,60000-70000
127,127,4277,8500,2014.0,buick,encore,excellent,4 cylinders,114000.0,automatic,other,va,6.0,3,4,18,0,104,4,110000-120000
128,128,4279,2400,2004.0,toyota,carmy solara se,excellent,4 cylinders,148155.0,automatic,coupe,va,16.0,3,4,1,0,105,8,140000-150000
129,129,4281,10000,2004.0,bmw,645ci,excellent,8 cylinders,100200.0,automatic,coupe,va,16.0,3,8,21,0,106,8,100000-110000
130,130,4284,6399,2012.0,ford,focus se,excellent,4 cylinders,81952.0,automatic,sedan,va,8.0,3,4,13,0,107,0,80000-90000
131,131,4286,15900,2012.0,jeep,liberty sport suv 4d,good,6 cylinders,89872.0,other,other,va,8.0,2,6,10,1,51,4,80000-90000
132,132,4287,15300,2012.0,jeep,grand cherokee laredo sport,good,6 cylinders,97363.0,other,other,va,8.0,2,6,10,1,56,4,90000-100000
133,133,4289,6000,2008.0,volvo,s80 3.2,excellent,6 cylinders,167000.0,automatic,sedan,va,12.0,3,6,2,0,108,0,160000-170000
134,134,4290,7500,2011.0,bmw,328i xdrive awd,excellent,6 cylinders,116000.0,automatic,sedan,va,9.0,3,6,21,0,109,0,110000-120000
135,135,4292,4790,2007.0,ford,focus zx4,excellent,4 cylinders,92777.0,automatic,sedan,va,13.0,3,4,13,0,110,0,90000-100000
136,136,4294,6500,2010.0,subaru,legacy awd,excellent,4 cylinders,125703.0,automatic,sedan,va,10.0,3,4,0,0,111,0,120000-130000
137,137,4296,22508,2008.0,hyundai,accent,excellent,4 cylinders,77446.0,automatic,coupe,va,12.0,3,4,4,0,112,8,70000-80000
138,138,4301,5995,2007.0,toyota,rav4,excellent,4 cylinders,141455.0,automatic,SUV,va,13.0,3,4,1,0,113,6,140000-150000
139,139,4302,7995,2013.0,chevrolet,malibu w/1lt,excellent,4 cylinders,113626.0,automatic,sedan,va,7.0,3,4,9,0,114,0,110000-120000
140,140,4304,30700,2016.0,ford,f150 supercrew cab xlt,good,6 cylinders,26002.0,other,pickup,va,4.0,2,6,13,1,19,3,20000-30000
141,141,4308,8950,2008.0,bmw,7-series,excellent,8 cylinders,118553.0,automatic,sedan,va,12.0,3,8,21,0,115,0,110000-120000
142,142,4310,3250,2002.0,honda,civic,excellent,4 cylinders,148530.0,automatic,coupe,va,18.0,3,4,14,0,24,8,140000-150000
143,143,4312,30300,2016.0,ram,1500 crew cab laramie,good,8 cylinders,68226.0,other,pickup,va,4.0,2,8,6,1,116,3,60000-70000
144,144,4327,4400,2004.0,bmw,330xi,excellent,6 cylinders,167000.0,manual,sedan,va,16.0,3,6,21,2,117,0,160000-170000
145,145,4340,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
146,146,4341,5995,2014.0,jeep,patriot latitude,good,4 cylinders,174000.0,automatic,SUV,va,6.0,2,4,10,0,46,6,170000-180000
147,147,4342,6000,2009.0,mini,cooper s,excellent,4 cylinders,62800.0,manual,hatchback,va,11.0,3,4,23,2,118,1,60000-70000
148,148,4343,3795,2006.0,mazda,5,good,4 cylinders,151000.0,automatic,SUV,va,14.0,2,4,12,0,45,6,150000-160000
149,149,4344,9475,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
150,150,4346,7795,2009.0,ford,f-150 stx super cab,good,8 cylinders,139941.0,automatic,pickup,va,11.0,2,8,13,0,43,3,130000-140000
151,151,4347,5995,2006.0,acura,3.2tl,good,6 cylinders,176000.0,automatic,sedan,va,14.0,2,6,17,0,47,0,170000-180000
152,152,4360,6999,2010.0,nissan,maxima,excellent,6 cylinders,142000.0,automatic,sedan,va,10.0,3,6,5,0,119,0,140000-150000
153,153,4361,5000,2013.0,volkswagen,jetta tdi,fair,4 cylinders,103000.0,manual,wagon,va,7.0,1,4,3,2,120,2,100000-110000
154,154,4375,35000,2012.0,ford,f350 super duty crew cab,good,8 cylinders,37480.0,automatic,pickup,va,8.0,2,8,13,0,121,3,30000-40000
155,155,4377,3500,2006.0,bmw,325i,good,6 cylinders,170000.0,manual,sedan,va,14.0,2,6,21,2,122,0,170000-180000
156,156,4381,28900,2016.0,audi,s4,excellent,6 cylinders,42186.0,manual,sedan,va,4.0,3,6,19,2,52,0,40000-50000
157,157,4387,23300,2012.0,toyota,tacoma double cab,good,6 cylinders,78119.0,other,pickup,va,8.0,2,6,1,1,123,3,70000-80000
158,158,4388,29400,2016.0,cadillac,cts 3.6 premium,good,6 cylinders,39114.0,other,sedan,va,4.0,2,6,20,1,59,0,30000-40000
159,159,4391,6600,2010.0,dodge,journey se,excellent,4 cylinders,106000.0,automatic,SUV,va,10.0,3,4,11,0,124,6,100000-110000
160,160,4397,13550,2010.0,mercedes-benz,cls-class,excellent,8 cylinders,79714.0,automatic,coupe,va,10.0,3,8,15,0,125,8,70000-80000
161,161,4401,3700,2012.0,dodge,grand caravan sxt,excellent,6 cylinders,218.0,automatic,mini-van,va,8.0,3,6,11,0,83,9,0-10000
162,162,4402,25200,2012.0,audi,a7 premium quattro sedan 4d,good,6 cylinders,76794.0,automatic,sedan,va,8.0,2,6,19,0,126,0,70000-80000
163,163,4404,14500,2013.0,honda,crv,excellent,4 cylinders,85388.0,automatic,SUV,va,7.0,3,4,14,0,127,6,80000-90000
164,164,4406,22600,2015.0,ram,1500 crew cab big horn,good,6 cylinders,84979.0,other,pickup,va,5.0,2,6,6,1,128,3,80000-90000
165,165,4411,27200,2015.0,ford,f150 supercrew cab xlt,good,6 cylinders,57626.0,other,pickup,va,5.0,2,6,13,1,19,3,50000-60000
166,166,4412,3300,2003.0,toyota,solara,excellent,6 cylinders,127321.0,automatic,sedan,va,17.0,3,6,1,0,129,0,120000-130000
167,167,4414,6200,2004.0,audi,a8l quattro,good,8 cylinders,116000.0,automatic,sedan,va,16.0,2,8,19,0,130,0,110000-120000
168,168,4430,39900,2018.0,toyota,sienna xle,like new,6 cylinders,22000.0,automatic,mini-van,va,2.0,4,6,1,0,131,9,20000-30000
169,169,4432,30300,2015.0,ford,f150 supercrew cab xlt,good,8 cylinders,35091.0,other,pickup,va,5.0,2,8,13,1,19,3,30000-40000
170,170,4440,23100,2017.0,nissan,maxima s sedan 4d,good,6 cylinders,24697.0,automatic,sedan,va,3.0,2,6,5,0,132,0,20000-30000
171,171,4441,25500,2016.0,ford,f150 super cab xl pickup 4d,good,6 cylinders,40896.0,other,pickup,va,4.0,2,6,13,1,133,3,40000-50000
172,172,4444,6800,2008.0,audi,a4 quattro,good,4 cylinders,93000.0,automatic,sedan,va,12.0,2,4,19,0,134,0,90000-100000
173,173,4448,5300,2009.0,bmw,328i,good,6 cylinders,108000.0,manual,sedan,va,11.0,2,6,21,2,135,0,100000-110000
174,174,4449,3450,2003.0,toyota,camry le,good,4 cylinders,174000.0,automatic,sedan,va,17.0,2,4,1,0,1,0,170000-180000
175,175,4451,5000,2006.0,bmw,3 series,excellent,6 cylinders,140000.0,automatic,sedan,va,14.0,3,6,21,0,136,0,140000-150000
176,176,4453,11300,2012.0,honda,crv lx awd,excellent,4 cylinders,70055.0,automatic,SUV,va,8.0,3,4,14,0,137,6,70000-80000
177,177,4457,7995,2005.0,lexus,rx 330,excellent,6 cylinders,168000.0,automatic,SUV,va,15.0,3,6,16,0,68,6,160000-170000
178,178,4458,6995,2009.0,subaru,legacy,excellent,4 cylinders,98000.0,automatic,sedan,va,11.0,3,4,0,0,0,0,90000-100000
179,179,4459,5500,2005.0,jeep,liberty diesel 4x4,good,4 cylinders,168.0,automatic,SUV,va,15.0,2,4,10,0,138,6,0-10000
180,180,4460,28995,2016.0,toyota,4runner,good,6 cylinders,58914.0,automatic,SUV,va,4.0,2,6,1,0,31,6,50000-60000
181,181,4461,3999,2005.0,pontiac,sunfire,excellent,4 cylinders,83153.0,automatic,coupe,va,15.0,3,4,24,0,139,8,80000-90000
182,182,4462,6990,2008.0,honda,odyssey ex,excellent,6 cylinders,112634.0,automatic,mini-van,va,12.0,3,6,14,0,140,9,110000-120000
183,183,4463,4999,2010.0,chevrolet,equinox,excellent,4 cylinders,164915.0,automatic,SUV,va,10.0,3,4,9,0,36,6,160000-170000
184,184,4469,23999,2013.0,ford,f-150,good,6 cylinders,86256.0,automatic,truck,va,7.0,2,6,13,0,141,5,80000-90000
185,185,4470,12999,2006.0,ford,f-150,good,8 cylinders,152224.0,automatic,truck,va,14.0,2,8,13,0,141,5,150000-160000
186,186,4471,28995,2016.0,toyota,4runner,good,6 cylinders,58914.0,automatic,SUV,va,4.0,2,6,1,0,31,6,50000-60000
187,187,4472,12999,2006.0,ford,f-150,good,8 cylinders,152224.0,automatic,truck,va,14.0,2,8,13,0,141,5,150000-160000
188,188,4473,23999,2013.0,ford,f-150,good,6 cylinders,86256.0,automatic,truck,va,7.0,2,6,13,0,141,5,80000-90000
189,189,4479,3000,2007.0,volvo,s40 2.4i,good,5 cylinders,147400.0,automatic,sedan,va,13.0,2,5,2,0,142,0,140000-150000
190,190,4489,10900,2009.0,rover,spo,excellent,8 cylinders,131345.0,automatic,SUV,va,11.0,3,8,25,0,143,6,130000-140000
191,191,4490,4999,2001.0,toyota,mr2 spyder,excellent,4 cylinders,144666.0,manual,convertible,va,19.0,3,4,1,2,144,10,140000-150000
192,192,4491,5999,2013.0,fiat,500,excellent,4 cylinders,29355.0,automatic,hatchback,va,7.0,3,4,26,0,145,1,20000-30000
