,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
625,625,6720,2800,2001.0,subaru,"ll bean outback, h6",good,6 cylinders,137000.0,automatic,wagon,va,19.0,2,6,0,0,367,2,130000-140000
626,626,6722,11995,2014.0,toyota,sienna,excellent,6 cylinders,103357.0,automatic,mini-van,va,6.0,3,6,1,0,368,9,100000-110000
627,627,6723,4999,2003.0,bmw,530,excellent,6 cylinders,119177.0,automatic,sedan,va,17.0,3,6,21,0,369,0,110000-120000
628,628,6724,18995,2011.0,jeep,wrangler unlimi,excellent,6 cylinders,117411.0,automatic,SUV,va,9.0,3,6,10,0,370,6,110000-120000
629,629,6725,6495,2009.0,bmw,328,excellent,6 cylinders,102431.0,automatic,sedan,va,11.0,3,6,21,0,371,0,100000-110000
630,630,6726,14995,2015.0,honda,accord sedan,excellent,4 cylinders,70090.0,automatic,sedan,va,5.0,3,4,14,0,372,0,70000-80000
631,631,6727,8495,2014.0,hyundai,sonata,excellent,4 cylinders,98986.0,automatic,sedan,va,6.0,3,4,4,0,27,0,90000-100000
632,632,6728,5999,2006.0,bmw,x3,excellent,6 cylinders,124500.0,automatic,SUV,va,14.0,3,6,21,0,373,6,120000-130000
633,633,6729,15995,2016.0,toyota,camry,excellent,4 cylinders,36015.0,automatic,sedan,va,4.0,3,4,1,0,73,0,30000-40000
634,634,6730,6495,2015.0,hyundai,elantra,excellent,4 cylinders,136265.0,automatic,sedan,va,5.0,3,4,4,0,329,0,130000-140000
635,635,6738,21995,2012.0,jeep,wrangler unlimi,excellent,6 cylinders,87450.0,automatic,SUV,va,8.0,3,6,10,0,370,6,80000-90000
636,636,6739,6495,2014.0,ford,focus,excellent,4 cylinders,72317.0,automatic,sedan,va,6.0,3,4,13,0,255,0,70000-80000
637,637,6740,6695,2014.0,ford,focus,excellent,4 cylinders,67489.0,automatic,hatchback,va,6.0,3,4,13,0,255,1,60000-70000
638,638,6741,7995,2012.0,ford,escape,excellent,4 cylinders,86010.0,automatic,SUV,va,8.0,3,4,13,0,374,6,80000-90000
639,639,6742,14799,2012.0,chevrolet,avalanche ltz 4x4,excellent,8 cylinders,151777.0,automatic,truck,va,8.0,3,8,9,0,375,5,150000-160000
640,640,6743,8995,2014.0,ford,fusion,excellent,4 cylinders,78800.0,automatic,sedan,va,6.0,3,4,13,0,87,0,70000-80000
641,641,6744,8995,2015.0,volkswagen,jetta,excellent,4 cylinders,93091.0,automatic,sedan,va,5.0,3,4,3,0,53,0,90000-100000
642,642,6745,4995,2013.0,ford,fiesta,excellent,4 cylinders,100147.0,automatic,sedan,va,7.0,3,4,13,0,376,0,100000-110000
643,643,6749,7990,2008.0,dodge,dakota crew cab,excellent,6 cylinders,137309.0,automatic,truck,va,12.0,3,6,11,0,344,5,130000-140000
